q_id,topic_id,question_text,option_A,option_B,option_C,option_D,correct_option,difficulty,source
K9B13_01,13_Quy_trinh_giao_bai_toan,Chương trình máy tính là gì?,Một tập hợp các linh kiện điện tử,Một dãy các thao tác thủ công,Bản mô tả thuật toán bằng ngôn ngữ mà máy tính có thể hiểu và thực hiện,Một sơ đồ khối trên giấy,C,Nhận biết,Tin 9 - CTST - Bài 13
K9B13_02,13_Quy_trinh_giao_bai_toan,Quy trình giao bài toán cho máy tính giải quyết gồm 3 bước theo thứ tự nào?,(1) Viết chương trình -> (2) Xác định bài toán -> (3) Xây dựng thuật toán,(1) Xác định bài toán -> (2) Xây dựng thuật toán -> (3) Viết chương trình,(1) Xây dựng thuật toán -> (2) Viết chương trình -> (3) Kiểm thử,(1) Viết chương trình -> (2) Chạy thử -> (3) Sửa lỗi,B,Nhận biết,Tin 9 - CTST - Bài 13
K9B13_03,13_Quy_trinh_giao_bai_toan,Mục đích chính của bước "Viết chương trình" là gì?,Để chuyển đổi thuật toán thành các câu lệnh mà máy tính có thể thực hiện được,Để vẽ sơ đồ khối cho đẹp,Để xác định Input và Output,Để tìm lỗi sai của thuật toán,A,Nhận biết,Tin 9 - CTST - Bài 13
K9B13_04,13_Quy_trinh_giao_bai_toan,Thuật toán thường được mô tả dưới dạng nào trước khi viết chương trình?,Văn bản tiếng Việt tự do hoặc Hình vẽ minh họa,Phương pháp liệt kê các bước hoặc Sơ đồ khối (Flowchart),Bảng tính Excel,Mã nhị phân 0 và 1,B,Nhận biết,Tin 9 - CTST - Bài 13
K9B13_05,13_Quy_trinh_giao_bai_toan,Bước đầu tiên "Xác định bài toán" yêu cầu chúng ta phải làm rõ hai yếu tố nào?,Phần cứng và Phần mềm,Input (Đầu vào) và Output (Đầu ra),Người lập trình và Người sử dụng,Thời gian và Chi phí,B,Nhận biết,Tin 9 - CTST - Bài 13
K9B13_06,13_Quy_trinh_giao_bai_toan,Tại sao ta không thể giao trực tiếp thuật toán (viết bằng ngôn ngữ tự nhiên hoặc sơ đồ khối) cho máy tính chạy ngay?,Vì máy tính không thích sơ đồ khối,Vì máy tính chỉ hiểu được ngôn ngữ lập trình (ngôn ngữ máy/bậc cao) chứ không hiểu trực tiếp ngôn ngữ tự nhiên của con người,Vì sơ đồ khối quá phức tạp,Vì máy tính sợ bị sai,B,Thông hiểu,Tin 9 - CTST - Bài 13
K9B13_07,13_Quy_trinh_giao_bai_toan,Trong ví dụ về thuật toán "Tìm ước chung lớn nhất (ƯCLN)" bước đầu tiên của thuật toán là gì?,Tính hiệu hai số,In kết quả ra màn hình,Nhập hai số nguyên dương a và b,Kiểm tra a có bằng b không,C,Thông hiểu,Tin 9 - CTST - Bài 13
K9B13_08,13_Quy_trinh_giao_bai_toan,Việc "Xác định bài toán" có ý nghĩa quan trọng như thế nào?,Giúp chọn mua máy tính đắt tiền phù hợp,Giúp xác định rõ giới hạn mục tiêu và dữ liệu cần xử lý để xây dựng thuật toán chính xác,Giúp chương trình chạy nhanh hơn gấp đôi,Không quan trọng lắm có thể bỏ qua,B,Thông hiểu,Tin 9 - CTST - Bài 13
K9B13_09,13_Quy_trinh_giao_bai_toan,Ngôn ngữ lập trình trực quan Scratch thường được dùng trong giáo dục để làm gì?,Để thiết kế phần cứng máy tính,Để mô tả thuật toán và viết chương trình một cách trực quan dễ hiểu thông qua việc lắp ghép các khối lệnh,Để soạn thảo văn bản hành chính,Để chỉnh sửa ảnh chuyên nghiệp,B,Thông hiểu,Tin 9 - CTST - Bài 13
K9B13_10,13_Quy_trinh_giao_bai_toan,Tại sao cần phải xây dựng thuật toán hoàn chỉnh trước khi bắt tay vào viết code (lập trình)?,Để có một kế hoạch tư duy logic rõ ràng tránh việc viết code tùy tiện dễ gây lỗi và khó sửa chữa,Để không phải viết code nữa,Để máy tính tự viết code hộ mình,Để làm khó người lập trình,A,Vận dụng,Tin 9 - CTST - Bài 13
K9B13_11,13_Quy_trinh_giao_bai_toan,Trong thuật toán "Hỗ trợ quản lý mượn sách" (như trong bài học) để máy tính quyết định có cho mượn sách hay không nó cần kiểm tra điều kiện gì?,Kiểm tra tên người mượn có đẹp không,Kiểm tra số lượng sách hiện có (soluong) > 0 hay bằng 0,Kiểm tra xem hôm nay là thứ mấy,Kiểm tra vị trí cuốn sách nằm ở đâu,B,Vận dụng,Tin 9 - CTST - Bài 13
K9B13_12,13_Quy_trinh_giao_bai_toan,Em muốn viết chương trình "Tính tiền điện hàng tháng". Theo quy trình 3 bước em sẽ thực hiện thứ tự nào?,(1) Viết code tính tiền -> (2) Hỏi xem giá điện là bao nhiêu -> (3) Vẽ sơ đồ,(1) Xác định Input (Số kWh tiêu thụ) & Output (Số tiền) -> (2) Xây dựng công thức tính toán (Thuật toán) -> (3) Viết chương trình bằng Python/Scratch,(1) Mở máy tính lên -> (2) Viết luôn chương trình -> (3) Sửa lỗi,(1) Vẽ sơ đồ khối -> (2) Xác định Input -> (3) Viết code,B,Vận dụng,Tin 9 - CTST - Bài 13
