q_id,topic_id,question_text,option_A,option_B,option_C,option_D,correct_option,difficulty,source
K8E1_01,E1_Xu_li_bang_tinh,Chức năng "Sắp xếp" (Sort) trong bảng tính điện tử dùng để làm gì?,Để ẩn các hàng không mong muốn,Để hoán đổi vị trí các hàng theo một tiêu chí xác định (tăng dần/giảm dần),Để tính tổng các cột,Để tô màu cho bảng tính,B,Nhận biết,Tin 8 - Chủ đề E1 - Bài 1
K8E1_02,E1_Xu_li_bang_tinh,Tính năng "Lọc dữ liệu" (Filter) giúp người dùng làm gì?,Xóa vĩnh viễn dữ liệu không cần thiết,Chỉ hiển thị các hàng thỏa mãn điều kiện nhất định và ẩn các hàng còn lại,Sắp xếp dữ liệu từ A đến Z,Vẽ biểu đồ,B,Nhận biết,Tin 8 - Chủ đề E1 - Bài 1
K8E1_03,E1_Xu_li_bang_tinh,Để bật tính năng Lọc dữ liệu ta vào dải lệnh (Tab) nào?,Home,Insert,Data,View,C,Nhận biết,Tin 8 - Chủ đề E1 - Bài 1
K8E1_04,E1_Xu_li_bang_tinh,Biểu tượng của lệnh Filter (Lọc) thường có hình gì?,Cây bút chì,Cái phễu,Cái kéo,Quyển sách,B,Nhận biết,Tin 8 - Chủ đề E1 - Bài 1
K8E1_05,E1_Xu_li_bang_tinh,Sau khi thực hiện lọc các hàng không thỏa mãn điều kiện sẽ như thế nào?,Bị xóa khỏi bảng tính,Bị chuyển sang sheet khác,Tạm thời bị ẩn đi,Đổi màu đỏ,C,Nhận biết,Tin 8 - Chủ đề E1 - Bài 1
K8E1_06,E1_Xu_li_bang_tinh,Sự khác biệt cơ bản giữa "Sắp xếp" và "Lọc" là gì?,Sắp xếp làm thay đổi thứ tự hàng còn Lọc thì ẩn hàng,Sắp xếp xóa dữ liệu còn Lọc thì không,Lọc làm thay đổi thứ tự hàng còn Sắp xếp thì ẩn hàng,Hai tính năng này hoàn toàn giống nhau,A,Thông hiểu,Tin 8 - Chủ đề E1 - Bài 1
K8E1_07,E1_Xu_li_bang_tinh,Khi lọc dữ liệu cột "Họ tên" (dữ liệu văn bản) tùy chọn nào sau đây KHÔNG xuất hiện trong Text Filters?,Equals (Bằng),Contains (Chứa),Greater Than (Lớn hơn - dùng cho số),Begins With (Bắt đầu với),C,Thông hiểu,Tin 8 - Chủ đề E1 - Bài 1
K8E1_08,E1_Xu_li_bang_tinh,Lệnh "Clear Filter" (Xóa bộ lọc) dùng để làm gì?,Xóa toàn bộ dữ liệu trong bảng,Tắt chế độ lọc (bỏ hình phễu),Bỏ các điều kiện lọc đang áp dụng và hiển thị lại toàn bộ dữ liệu,Xóa các hàng bị ẩn,C,Thông hiểu,Tin 8 - Chủ đề E1 - Bài 1
K8E1_09,E1_Xu_li_bang_tinh,Trong hộp thoại lọc số (Number Filters) tùy chọn "Between..." dùng để lọc các giá trị như thế nào?,Lớn hơn một số,Nhỏ hơn một số,Nằm trong khoảng giữa hai số,Bằng đúng một số,C,Thông hiểu,Tin 8 - Chủ đề E1 - Bài 1
K8E1_10,E1_Xu_li_bang_tinh,Cô giáo muốn chọn ra 5 bạn có điểm tổng kết cao nhất lớp để khen thưởng. Em nên dùng tính năng nào nhanh nhất?,Sắp xếp tên theo thứ tự A-Z,Dùng Number Filters chọn "Top 10..." rồi sửa thành 5,Dùng mắt thường dò tìm từng dòng,Lọc các bạn điểm 10 rồi lọc điểm 9,B,Vận dụng,Tin 8 - Chủ đề E1 - Bài 1
K8E1_11,E1_Xu_li_bang_tinh,Để lọc ra các bạn học sinh có họ "Nguyễn" trong danh sách lớp em dùng tùy chọn Text Filters nào?,Equals "Nguyễn",Ends With "Nguyễn",Begins With "Nguyễn",Contains "Trần",C,Vận dụng,Tin 8 - Chủ đề E1 - Bài 1
K8E1_12,E1_Xu_li_bang_tinh,Nếu muốn sắp xếp danh sách học sinh theo Tổ (1, 2, 3, 4) và trong mỗi Tổ lại sắp xếp theo Tên (A-Z) ta cần làm gì?,Chỉ sắp xếp cột Tổ,Chỉ sắp xếp cột Tên,Sử dụng Custom Sort (Sắp xếp tùy chỉnh) để thêm 2 cấp độ sắp xếp (Add Level),Không thể làm được,C,Vận dụng,Tin 8 - Chủ đề E1 - Bài 1
q_id,topic_id,question_text,option_A,option_B,option_C,option_D,correct_option,difficulty,source
K8E1_B2_01,E1_Sap_xep_du_lieu,Mục đích chính của việc sắp xếp dữ liệu trong bảng tính là gì?,Để xóa bớt dữ liệu,Để tính tổng nhanh hơn,Để hoán đổi vị trí các hàng giúp dễ dàng tra cứu và so sánh dữ liệu theo tiêu chí nhất định,Để tô màu cho bảng đẹp hơn,C,Nhận biết,Tin 8 - Chủ đề E1 - Bài 2
K8E1_B2_02,E1_Sap_xep_du_lieu,Trong dải lệnh Data nhóm lệnh nào dùng để thực hiện sắp xếp?,Sort & Filter,Font,Alignment,Charts,A,Nhận biết,Tin 8 - Chủ đề E1 - Bài 2
K8E1_B2_03,E1_Sap_xep_du_lieu,Biểu tượng sắp xếp theo thứ tự "Tăng dần" (từ A đến Z hoặc từ nhỏ đến lớn) có hình gì?,Chữ Z trên chữ A (Z->A),Chữ A trên chữ Z (A->Z),Hình cái phễu,Hình cây bút,B,Nhận biết,Tin 8 - Chủ đề E1 - Bài 2
K8E1_B2_04,E1_Sap_xep_du_lieu,Để mở hộp thoại sắp xếp tùy chỉnh (nhiều cấp độ) ta chọn biểu tượng nào?,Nút Filter (Phễu),Nút Sort (hình chữ nhật lớn có A-Z),Nút AutoSum,Nút Format Cells,B,Nhận biết,Tin 8 - Chủ đề E1 - Bài 2
K8E1_B2_05,E1_Sap_xep_du_lieu,Khi sắp xếp dữ liệu ngày tháng thứ tự "Oldest to Newest" nghĩa là gì?,Từ ngày gần nhất đến ngày xa nhất,Từ ngày cũ nhất (quá khứ) đến ngày mới nhất (tương lai),Sắp xếp ngẫu nhiên,Không sắp xếp gì cả,B,Nhận biết,Tin 8 - Chủ đề E1 - Bài 2
K8E1_B2_06,E1_Sap_xep_du_lieu,Nếu em chọn một ô trong cột "Điểm Toán" rồi bấm nút A->Z Excel sẽ thực hiện điều gì?,Chỉ sắp xếp cột Điểm Toán các cột khác giữ nguyên (dữ liệu bị sai lệch),Tự động mở rộng vùng chọn và sắp xếp toàn bộ bảng theo thứ tự tăng dần của cột Điểm Toán,Xóa cột Điểm Toán,Báo lỗi,B,Thông hiểu,Tin 8 - Chủ đề E1 - Bài 2
K8E1_B2_07,E1_Sap_xep_du_lieu,Sắp xếp "nhiều cấp độ" (Multi-level Sort) có ý nghĩa gì?,Chỉ sắp xếp được 1 cột duy nhất,Giúp xử lý trường hợp các hàng có giá trị giống nhau ở cột tiêu chí 1 thì sẽ xét tiếp tiêu chí 2 để sắp xếp,Làm máy tính chạy chậm hơn,Không có ý nghĩa gì,B,Thông hiểu,Tin 8 - Chủ đề E1 - Bài 2
K8E1_B2_08,E1_Sap_xep_du_lieu,Trong hộp thoại Sort mục "My data has headers" (Dữ liệu của tôi có tiêu đề) nếu được chọn sẽ có tác dụng gì?,Hàng đầu tiên của vùng chọn sẽ được coi là tiêu đề và không bị tham gia vào quá trình sắp xếp,Hàng đầu tiên sẽ bị xóa,Hàng đầu tiên sẽ bị sắp xếp đảo lộn xuống dưới,Excel sẽ tự tạo tiêu đề mới,A,Thông hiểu,Tin 8 - Chủ đề E1 - Bài 2
K8E1_B2_09,E1_Sap_xep_du_lieu,Nếu sắp xếp cột "Họ tên" (Tiếng Việt) theo thứ tự A-Z bằng công cụ mặc định của Excel kết quả thường gặp vấn đề gì?,Excel không sắp xếp được tiếng Việt,Excel sắp xếp dựa trên mã ký tự (ABC...) nên thường xếp theo Tên (từ cuối) thay vì Họ (từ đầu) nếu không tách cột,Excel sắp xếp tốt không có vấn đề gì,Excel sẽ xóa hết dấu tiếng Việt,B,Thông hiểu,Tin 8 - Chủ đề E1 - Bài 2
K8E1_B2_10,E1_Sap_xep_du_lieu,Em muốn lập danh sách "Top 3 bạn có điểm Trung bình cao nhất" để trao thưởng. Em sẽ thực hiện thao tác nào?,Sắp xếp cột Điểm TB tăng dần rồi lấy 3 bạn cuối,Sắp xếp cột Điểm TB giảm dần (Largest to Smallest) rồi lấy 3 bạn đầu tiên,Lọc những bạn điểm 10,Dùng hàm SUM,B,Vận dụng,Tin 8 - Chủ đề E1 - Bài 2
K8E1_B2_11,E1_Sap_xep_du_lieu,Danh sách lớp đang lộn xộn. Cô giáo muốn sắp xếp danh sách theo Tổ (1 -> 4) nếu cùng Tổ thì sắp xếp theo Tên (A -> Z). Em cần thiết lập trong hộp thoại Sort như thế nào?,Level 1: Tên (A-Z); Level 2: Tổ (Smallest to Largest),Level 1: Tổ (Smallest to Largest); Add Level -> Level 2: Tên (A-Z),Chỉ cần sắp xếp cột Tổ,Chỉ cần sắp xếp cột Tên,B,Vận dụng,Tin 8 - Chủ đề E1 - Bài 2
