q_id,topic_id,question_text,option_A,option_B,option_C,option_D,correct_option,difficulty,source
K9B1_01,1_May_tinh_va_doi_song,Công nghệ thông tin có tác động tiêu cực như thế nào đến sức khỏe thể chất của con người?,Khiến con người trở nên thụ động,Gây giảm thị lực,Giảm tương tác giữa người với người,Thông tin giả tràn lan,B,Thông hiểu,Tin 9 - CTST - Bài 1
K9B1_02,1_May_tinh_va_doi_song,Chọn mô tả về khóa cửa KHÔNG có bộ xử lí thông tin:,Khóa cửa sử dụng vân tay để đóng mở,Khóa cửa sử dụng chìa khóa cơ để đóng mở,Khóa cửa sử dụng thẻ từ để đóng mở,Khóa cửa kết hợp với smartphone để đóng mở,B,Nhận biết,Tin 9 - CTST - Bài 1
K9B1_03,1_May_tinh_va_doi_song,Phương án nào sau đây là ví dụ về thiết bị có gắn bộ xử lí trong lĩnh vực thương mại?,Máy chiếu trong lớp học,Máy chụp X-quang,Hệ thống thanh toán trong siêu thị,Hệ thống phun tưới vận hành tự động,C,Nhận biết,Tin 9 - CTST - Bài 1
K9B1_04,1_May_tinh_va_doi_song,Thiết bị bay không người lái để gieo hạt giống phun thuốc trừ sâu là thiết bị có gắn bộ xử lí được sử dụng trong lĩnh vực nào?,Nông nghiệp,Giao thông,Công nghiệp,Sinh học,A,Nhận biết,Tin 9 - CTST - Bài 1
K9B1_05,1_May_tinh_va_doi_song,Phát biểu nào sau đây là SAI?,Máy tính được ứng dụng hiệu quả trong nhiều lĩnh vực,Nhiều dữ liệu hiện có trên Internet là miễn phí,CNTT có tác động tiêu cực đến xã hội nhiều hơn so với tác động tích cực,Cần sử dụng CNTT đúng cách để tránh tác động tiêu cực,C,Thông hiểu,Tin 9 - CTST - Bài 1
K9B1_06,1_May_tinh_va_doi_song,Phương án nào sau đây KHÔNG phải là tác động tích cực của công nghệ thông tin lên giáo dục?,Dạy và học trực tuyến (E-Learning),Các phần mềm quản lí giáo dục giúp xử lí nhanh chóng,Các công việc sản xuất được tự động hóa,Dễ dàng tìm kiếm chia sẻ kiến thức kĩ năng,C,Thông hiểu,Tin 9 - CTST - Bài 1
K9B1_07,1_May_tinh_va_doi_song,Chọn mô tả về đồng hồ CÓ gắn bộ xử lí thông tin:,Đồng hồ treo tường chạy pin con thỏ,Đồng hồ bấm giờ cơ học trong thi đấu,Đồng hồ quả lắc,Đồng hồ thông minh báo số đo nhịp tim huyết áp,D,Nhận biết,Tin 9 - CTST - Bài 1
K9B1_08,1_May_tinh_va_doi_song,Công nghệ thông tin tác động tiêu cực đến môi trường như thế nào?,Tạo ra thông tin sai lệch,Rác thải từ những sản phẩm công nghệ lỗi thời (Rác thải điện tử),Tăng nguy cơ thất nghiệp,Bạo lực mạng,B,Thông hiểu,Tin 9 - CTST - Bài 1
K9B1_09,1_May_tinh_va_doi_song,Bộ phận quan trọng nhất được ví như "bộ não" của máy tính là gì?,Bàn phím và chuột,Bộ xử lí trung tâm (CPU),Màn hình máy tính,Loa và Wifi,B,Nhận biết,Tin 9 - CTST - Bài 1
K9B1_10,1_May_tinh_va_doi_song,Đặc điểm nào sau đây thể hiện khả năng của máy tính về lưu trữ?,Thực hiện phép tính nhanh chính xác,Làm việc không ngừng nghỉ,Thực hiện công việc tự động theo chương trình,Dung lượng lưu trữ lớn,D,Nhận biết,Tin 9 - CTST - Bài 1
K9B1_11,1_May_tinh_va_doi_song,Đặc điểm nào sau đây thể hiện khả năng của máy tính về truyền thông?,Truyền tải thông tin với tốc độ và độ tin cậy cao,Làm việc không ngừng nghỉ,Thực hiện công việc tự động theo chương trình,Dung lượng lưu trữ lớn,A,Nhận biết,Tin 9 - CTST - Bài 1
K9B1_12,1_May_tinh_va_doi_song,Chức năng chính của bộ xử lí thông tin là gì?,Lưu trữ dữ liệu dạng số hoá,Là tên gọi khác của màn hình,Quyết định hoạt động ngẫu nhiên,Tiếp nhận thông tin vào xử lí và đưa ra kết quả,D,Nhận biết,Tin 9 - CTST - Bài 1
K9B1_13,1_May_tinh_va_doi_song,Tác động của CNTT đối với xã hội về mặt "trao đổi thông tin" thể hiện qua hoạt động nào?,Xem tin tức trên báo điện tử chia sẻ giao lưu trên mạng xã hội,Sử dụng mô phỏng trong y tế,Dùng phần mềm quản lí điểm thi,Dạy học E-Learning,A,Thông hiểu,Tin 9 - CTST - Bài 1
K9B1_14,1_May_tinh_va_doi_song,Tác động của CNTT đối với xã hội về "phương thức làm việc" thể hiện qua điều gì?,Thông tin cá nhân bị rò rỉ,Dùng phần mềm mô phỏng,Phần mềm quản lí tự động hoàn toàn con người không cần làm gì,Làm việc qua mạng mua bán thanh toán trực tuyến,D,Thông hiểu,Tin 9 - CTST - Bài 1
K9B1_15,1_May_tinh_va_doi_song,Đặc điểm nào sau đây của nồi cơm điện cho thấy nó KHÔNG có bộ xử lí thông tin (loại cơ)?,Sử dụng rơ le nhiệt để ngắt điện khi đạt nhiệt độ (nguyên lý vật lý),Có thể hẹn giờ nấu chín cơm,Có thể chọn chế độ nấu (cháo/nhanh/thường),Kết nối Internet điều khiển qua điện thoại,A,Vận dụng,Tin 9 - CTST - Bài 1
q_id,topic_id,question_text,option_A,option_B,option_C,option_D,correct_option,difficulty,source
