q_id,skillId
K6A1_01,A1_Thong_tin_va_xu_li
K6A1_02,A1_Thong_tin_va_xu_li
K6A1_03,A1_Thong_tin_va_xu_li
K6A1_04,A1_Thong_tin_va_xu_li
K6A1_05,A1_Thong_tin_va_xu_li
K6A1_06,A1_Thong_tin_va_xu_li
K6A1_07,A1_Thong_tin_va_xu_li
K6A1_08,A1_Thong_tin_va_xu_li
K6A1_09,A1_Thong_tin_va_xu_li
K6A1_10,A1_Thong_tin_va_xu_li
K6A1_11,A1_Thong_tin_va_xu_li
K6A1_12,A1_Thong_tin_va_xu_li
K6A2_01,A2_Luu_tru_va_trao_doi
K6A2_02,A2_Luu_tru_va_trao_doi
K6A2_03,A2_Luu_tru_va_trao_doi
K6A2_04,A2_Luu_tru_va_trao_doi
K6A2_05,A2_Luu_tru_va_trao_doi
K6A2_06,A2_Luu_tru_va_trao_doi
K6A2_07,A2_Luu_tru_va_trao_doi
K6A2_08,A2_Luu_tru_va_trao_doi
K6A2_09,A2_Luu_tru_va_trao_doi
K6A2_10,A2_Luu_tru_va_trao_doi
K6A2_11,A2_Luu_tru_va_trao_doi
K6A2_12,A2_Luu_tru_va_trao_doi
K6A3_01,A3_May_tinh_trong_HDTT
K6A3_02,A3_May_tinh_trong_HDTT
K6A3_03,A3_May_tinh_trong_HDTT
K6A3_04,A3_May_tinh_trong_HDTT
K6A3_05,A3_May_tinh_trong_HDTT
K6A3_06,A3_May_tinh_trong_HDTT
K6A3_07,A3_May_tinh_trong_HDTT
K6A3_08,A3_May_tinh_trong_HDTT
K6A3_09,A3_May_tinh_trong_HDTT
K6A3_10,A3_May_tinh_trong_HDTT
K6A3_11,A3_May_tinh_trong_HDTT
K6A3_12,A3_May_tinh_trong_HDTT
K6A4_01,A4_Bieu_dien_du_lieu
K6A4_02,A4_Bieu_dien_du_lieu
K6A4_03,A4_Bieu_dien_du_lieu
K6A4_04,A4_Bieu_dien_du_lieu
K6A4_05,A4_Bieu_dien_du_lieu
K6A4_06,A4_Bieu_dien_du_lieu
K6A4_07,A4_Bieu_dien_du_lieu
K6A4_08,A4_Bieu_dien_du_lieu
K6A4_09,A4_Bieu_dien_du_lieu
K6A4_10,A4_Bieu_dien_du_lieu
K6A4_11,A4_Bieu_dien_du_lieu
K6A4_12,A4_Bieu_dien_du_lieu
K6A5_01,A5_Du_lieu_trong_may_tinh
K6A5_02,A5_Du_lieu_trong_may_tinh
K6A5_03,A5_Du_lieu_trong_may_tinh
K6A5_04,A5_Du_lieu_trong_may_tinh
K6A5_05,A5_Du_lieu_trong_may_tinh
K6A5_06,A5_Du_lieu_trong_may_tinh
K6A5_07,A5_Du_lieu_trong_may_tinh
K6A5_08,A5_Du_lieu_trong_may_tinh
K6A5_09,A5_Du_lieu_trong_may_tinh
K6A5_10,A5_Du_lieu_trong_may_tinh
K6A5_11,A5_Du_lieu_trong_may_tinh
K6A5_12,A5_Du_lieu_trong_may_tinh
K6B1_01,k6_b1_khai_niem_loi_ich
K6B1_02,k6_b1_khai_niem_loi_ich
K6B1_03,k6_b1_khai_niem_loi_ich
K6B1_04,k6_b1_khai_niem_loi_ich
K6B1_05,k6_b1_khai_niem_loi_ich
K6B1_06,k6_b1_khai_niem_loi_ich
K6B1_07,k6_b1_khai_niem_loi_ich
K6B1_08,k6_b1_khai_niem_loi_ich
K6B1_09,k6_b1_khai_niem_loi_ich
K6B1_10,k6_b1_khai_niem_loi_ich
K6B1_11,k6_b1_khai_niem_loi_ich
K6B1_12,k6_b1_khai_niem_loi_ich
K6B2_01,k6_b2_thanh_phan_mang
K6B2_02,k6_b2_thanh_phan_mang
K6B2_03,k6_b2_thanh_phan_mang
K6B2_04,k6_b2_thanh_phan_mang
K6B2_05,k6_b2_thanh_phan_mang
K6B2_06,k6_b2_thanh_phan_mang
K6B2_07,k6_b2_thanh_phan_mang
K6B2_08,k6_b2_thanh_phan_mang
K6B2_09,k6_b2_thanh_phan_mang
K6B2_10,k6_b2_thanh_phan_mang
K6B2_11,k6_b2_thanh_phan_mang
K6B2_12,k6_b2_thanh_phan_mang
K6B3_01,k6_b3_co_day_khong_day
K6B3_02,k6_b3_co_day_khong_day
K6B3_03,k6_b3_co_day_khong_day
K6B3_04,k6_b3_co_day_khong_day
K6B3_05,k6_b3_co_day_khong_day
K6B3_06,k6_b3_co_day_khong_day
K6B3_07,k6_b3_co_day_khong_day
K6B3_08,k6_b3_co_day_khong_day
K6B3_09,k6_b3_co_day_khong_day
K6B3_10,k6_b3_co_day_khong_day
K6B3_11,k6_b3_co_day_khong_day
K6B3_12,k6_b3_co_day_khong_day
K6B4_01,k6_b4_thuc_hanh
K6B4_02,k6_b4_thuc_hanh
K6B4_03,k6_b4_thuc_hanh
K6B4_04,k6_b4_thuc_hanh
K6B4_05,k6_b4_thuc_hanh
K6B4_06,k6_b4_thuc_hanh
K6B4_07,k6_b4_thuc_hanh
K6B4_08,k6_b4_thuc_hanh
K6B4_09,k6_b4_thuc_hanh
K6B4_10,k6_b4_thuc_hanh
K6B4_11,k6_b4_thuc_hanh
K6B4_12,k6_b4_thuc_hanh
K6C1_01,k6_c1_thong_tin_tren_web
K6C1_02,k6_c1_thong_tin_tren_web
K6C1_03,k6_c1_thong_tin_tren_web
K6C1_04,k6_c1_thong_tin_tren_web
K6C1_05,k6_c1_thong_tin_tren_web
K6C1_06,k6_c1_thong_tin_tren_web
K6C1_07,k6_c1_thong_tin_tren_web
K6C1_08,k6_c1_thong_tin_tren_web
K6C1_09,k6_c1_thong_tin_tren_web
K6C1_10,k6_c1_thong_tin_tren_web
K6C1_11,k6_c1_thong_tin_tren_web
K6C1_12,k6_c1_thong_tin_tren_web
K6C2_01,k6_c2_www_trinh_duyet
K6C2_02,k6_c2_www_trinh_duyet
K6C2_03,k6_c2_www_trinh_duyet
K6C2_04,k6_c2_www_trinh_duyet
K6C2_05,k6_c2_www_trinh_duyet
K6C2_06,k6_c2_www_trinh_duyet
K6C2_07,k6_c2_www_trinh_duyet
K6C2_08,k6_c2_www_trinh_duyet
K6C2_09,k6_c2_www_trinh_duyet
K6C2_10,k6_c2_www_trinh_duyet
K6C2_11,k6_c2_www_trinh_duyet
K6C2_12,k6_c2_www_trinh_duyet
K6C3_01,k6_c3_may_tim_kiem
K6C3_02,k6_c3_may_tim_kiem
K6C3_03,k6_c3_may_tim_kiem
K6C3_04,k6_c3_may_tim_kiem
K6C3_05,k6_c3_may_tim_kiem
K6C3_06,k6_c3_may_tim_kiem
K6C3_07,k6_c3_may_tim_kiem
K6C3_08,k6_c3_may_tim_kiem
K6C3_09,k6_c3_may_tim_kiem
K6C3_10,k6_c3_may_tim_kiem
K6C3_11,k6_c3_may_tim_kiem
K6C3_12,k6_c3_may_tim_kiem
K6C4_01,k6_c4_thuc_hanh_tim_kiem
K6C4_02,k6_c4_thuc_hanh_tim_kiem
K6C4_03,k6_c4_thuc_hanh_tim_kiem
K6C4_04,k6_c4_thuc_hanh_tim_kiem
K6C4_05,k6_c4_thuc_hanh_tim_kiem
K6C4_06,k6_c4_thuc_hanh_tim_kiem
K6C4_07,k6_c4_thuc_hanh_tim_kiem
K6C4_08,k6_c4_thuc_hanh_tim_kiem
K6C4_09,k6_c4_thuc_hanh_tim_kiem
K6C4_10,k6_c4_thuc_hanh_tim_kiem
K6C4_11,k6_c4_thuc_hanh_tim_kiem
K6C4_12,k6_c4_thuc_hanh_tim_kiem
K6C5_01,k6_c5_thu_dien_tu
K6C5_02,k6_c5_thu_dien_tu
K6C5_03,k6_c5_thu_dien_tu
K6C5_04,k6_c5_thu_dien_tu
K6C5_05,k6_c5_thu_dien_tu
K6C5_06,k6_c5_thu_dien_tu
K6C5_07,k6_c5_thu_dien_tu
K6C5_08,k6_c5_thu_dien_tu
K6C5_09,k6_c5_thu_dien_tu
K6C5_10,k6_c5_thu_dien_tu
K6C5_11,k6_c5_thu_dien_tu
K6C5_12,k6_c5_thu_dien_tu
K6C6_01,k6_c6_thuc_hanh_email
K6C6_02,k6_c6_thuc_hanh_email
K6C6_03,k6_c6_thuc_hanh_email
K6C6_04,k6_c6_thuc_hanh_email
K6C6_05,k6_c6_thuc_hanh_email
K6C6_06,k6_c6_thuc_hanh_email
K6C6_07,k6_c6_thuc_hanh_email
K6C6_08,k6_c6_thuc_hanh_email
K6C6_09,k6_c6_thuc_hanh_email
K6C6_10,k6_c6_thuc_hanh_email
K6C6_11,k6_c6_thuc_hanh_email
K6C6_12,k6_c6_thuc_hanh_email
K6D1_01,k6_d1_mat_trai_internet
K6D1_02,k6_d1_mat_trai_internet
K6D1_03,k6_d1_mat_trai_internet
K6D1_04,k6_d1_mat_trai_internet
K6D1_05,k6_d1_mat_trai_internet
K6D1_06,k6_d1_mat_trai_internet
K6D1_07,k6_d1_mat_trai_internet
K6D1_08,k6_d1_mat_trai_internet
K6D1_09,k6_d1_mat_trai_internet
K6D1_10,k6_d1_mat_trai_internet
K6D1_11,k6_d1_mat_trai_internet
K6D1_12,k6_d1_mat_trai_internet
K6D2_01,k6_d2_an_toan_hop_phap
K6D2_02,k6_d2_an_toan_hop_phap
K6D2_03,k6_d2_an_toan_hop_phap
K6D2_04,k6_d2_an_toan_hop_phap
K6D2_05,k6_d2_an_toan_hop_phap
K6D2_06,k6_d2_an_toan_hop_phap
K6D2_07,k6_d2_an_toan_hop_phap
K6D2_08,k6_d2_an_toan_hop_phap
K6D2_09,k6_d2_an_toan_hop_phap
K6D2_10,k6_d2_an_toan_hop_phap
K6D2_11,k6_d2_an_toan_hop_phap
K6D2_12,k6_d2_an_toan_hop_phap
K6D3_01,k6_d3_thuc_hanh_phong_ve
K6D3_02,k6_d3_thuc_hanh_phong_ve
K6D3_03,k6_d3_thuc_hanh_phong_ve
K6D3_04,k6_d3_thuc_hanh_phong_ve
K6D3_05,k6_d3_thuc_hanh_phong_ve
K6D3_06,k6_d3_thuc_hanh_phong_ve
K6D3_07,k6_d3_thuc_hanh_phong_ve
K6D3_08,k6_d3_thuc_hanh_phong_ve
K6D3_09,k6_d3_thuc_hanh_phong_ve
K6D3_10,k6_d3_thuc_hanh_phong_ve
K6D3_11,k6_d3_thuc_hanh_phong_ve
K6D3_12,k6_d3_thuc_hanh_phong_ve
K6E1_01,k6_e1_find_replace
K6E1_02,k6_e1_find_replace
K6E1_03,k6_e1_find_replace
K6E1_04,k6_e1_find_replace
K6E1_05,k6_e1_find_replace
K6E1_06,k6_e1_find_replace
K6E1_07,k6_e1_find_replace
K6E1_08,k6_e1_find_replace
K6E1_09,k6_e1_find_replace
K6E1_10,k6_e1_find_replace
K6E1_11,k6_e1_find_replace
K6E1_12,k6_e1_find_replace
K6E2_01,k6_e2_page_setup_print
K6E2_02,k6_e2_page_setup_print
K6E2_03,k6_e2_page_setup_print
K6E2_04,k6_e2_page_setup_print
K6E2_05,k6_e2_page_setup_print
K6E2_06,k6_e2_page_setup_print
K6E2_07,k6_e2_page_setup_print
K6E2_08,k6_e2_page_setup_print
K6E2_09,k6_e2_page_setup_print
K6E2_10,k6_e2_page_setup_print
K6E2_11,k6_e2_page_setup_print
K6E2_12,k6_e2_page_setup_print
K6E3_01,k6_e3_practice_wp
K6E3_02,k6_e3_practice_wp
K6E3_03,k6_e3_practice_wp
K6E3_04,k6_e3_practice_wp
K6E3_05,k6_e3_practice_wp
K6E3_06,k6_e3_practice_wp
K6E3_07,k6_e3_practice_wp
K6E3_08,k6_e3_practice_wp
K6E3_09,k6_e3_practice_wp
K6E3_10,k6_e3_practice_wp
K6E3_11,k6_e3_practice_wp
K6E3_12,k6_e3_practice_wp
