q_id,topic_id,question_text,option_A,option_B,option_C,option_D,correct_option,difficulty,source
K8C1_01,C_Du_lieu_so,Thông tin số được thể hiện dưới dạng nào trong máy tính?,Dãy các chữ cái,Dãy các con số thập phân,Dãy bit (các kí hiệu 0 và 1),Hình ảnh in trên giấy,C,Nhận biết,Tin 8 – Chủ đề C – Bài 1 [cite: 30]
K8C1_02,C_Du_lieu_so,Đâu là đặc điểm nổi bật của thông tin số?,Luôn luôn đúng sự thật,Dễ dàng sao chép sửa đổi và chia sẻ,Rất khó tạo ra và tốn kém,Chỉ có thể xem được trên máy tính để bàn,B,Nhận biết,Tin 8 – Chủ đề C – Bài 1 [cite: 30]
K8C1_03,C_Du_lieu_so,Công cụ nào sau đây dùng để trao đổi thông tin trong môi trường số?,Máy in,Thư điện tử (Email) và mạng xã hội,Máy quét (Scanner),Phần mềm vẽ Paint,B,Nhận biết,Tin 8 – Chủ đề C – Bài 1 [cite: 34]
K8C1_04,C_Du_lieu_so,Google Drive và OneDrive là ví dụ về loại công cụ nào?,Công cụ tìm kiếm,Công cụ soạn thảo văn bản,Công cụ lưu trữ đám mây,Công cụ chỉnh sửa ảnh,C,Nhận biết,Tin 8 – Chủ đề C – Bài 1 [cite: 34]
K8C1_05,C_Du_lieu_so,Thông tin số có tính bản quyền nghĩa là gì?,Ai cũng được dùng miễn phí,Thông tin thuộc về tác giả và được pháp luật bảo vệ,Thông tin không có chủ sở hữu,Thông tin chỉ được dùng ở trường học,B,Nhận biết,Tin 8 – Chủ đề C – Bài 1 [cite: 30]
K8C1_06,C_Du_lieu_so,Vì sao thông tin số rất đa dạng?,Vì nó chỉ có dạng văn bản,Vì nó bao gồm văn bản hình ảnh âm thanh và video,Vì nó chỉ dùng cho giải trí,Vì máy tính chỉ hiểu số 0 và 1,B,Thông hiểu,Tin 8 – Chủ đề C – Bài 1 [cite: 30]
K8C1_07,C_Du_lieu_so,Tại sao chúng ta cần sử dụng đúng công cụ để xử lý dữ liệu (ví dụ dùng Word để soạn văn bản)?,Vì Word là phần mềm duy nhất trên máy tính,Vì mỗi phần mềm được thiết kế chuyên biệt cho một loại dữ liệu nhất định,Vì dùng sai phần mềm sẽ làm hỏng máy,Vì giáo viên yêu cầu như vậy,B,Thông hiểu,Tin 8 – Chủ đề C – Bài 1 [cite: 34]
K8C1_08,C_Du_lieu_so,Một bức ảnh chụp bằng điện thoại có thể dễ dàng gửi cho bạn bè qua Zalo. Điều này thể hiện đặc điểm gì?,Thông tin số dễ dàng thu thập và lưu trữ,Thông tin số có thể truyền tải và chia sẻ nhanh chóng,Thông tin số có tính bảo mật cao,Thông tin số không thể chỉnh sửa,B,Thông hiểu,Tin 8 – Chủ đề C – Bài 1 [cite: 30]
K8C1_09,C_Du_lieu_so,Khi tìm kiếm thông tin trên Internet ta nhận được nhiều kết quả khác nhau. Điều này chứng tỏ:,Thông tin số có độ tin cậy khác nhau và nguồn gốc đa dạng,Internet bị lỗi,Google không biết câu trả lời,Chỉ có một kết quả đúng duy nhất,A,Thông hiểu,Tin 8 – Chủ đề C – Bài 1 [cite: 30]
K8C1_10,C_Du_lieu_so,Em cần làm một bài thuyết trình có chèn nhạc và video minh họa. Phần mềm nào là phù hợp nhất?,Microsoft Word,Microsoft Excel,Microsoft PowerPoint,Unikey,C,Vận dụng,Tin 8 – Chủ đề C – Bài 1 [cite: 34]
K8C1_11,C_Du_lieu_so,Bạn Nam tải một bức ảnh trên mạng về và tự nhận là mình vẽ để dự thi. Hành động này vi phạm đặc điểm gì của thông tin số?,Tính đa dạng,Tính bản quyền,Tính cập nhật,Tính lưu trữ,B,Vận dụng,Tin 8 – Chủ đề C – Bài 1 [cite: 30]
K8C1_12,C_Du_lieu_so,Khi nhận được một email lạ thông báo trúng thưởng lớn yêu cầu click vào link lạ. Em nên làm gì?,Click ngay để nhận thưởng,Chuyển tiếp cho bạn bè cùng xem,Xóa email và không click vào link vì đó có thể là lừa đảo (tin cậy thấp),Trả lời lại email để hỏi cho rõ,C,Vận dụng,Tin 8 – Chủ đề C – Bài 1 [cite: 30]
K8C2_01,C_Khai_thac_thong_tin,Tại sao việc xác định nguồn thông tin đáng tin cậy lại quan trọng?,Để tiết kiệm dung lượng ổ cứng,Để đảm bảo đưa ra quyết định đúng đắn và tránh rủi ro,Để máy tính chạy nhanh hơn,Để có nhiều bạn bè hơn trên mạng,B,Nhận biết,Tin 8 – Chủ đề C – Bài 2 [cite: 97]
K8C2_02,C_Khai_thac_thong_tin,Nguồn thông tin nào sau đây thường có độ tin cậy cao nhất?,Một bài viết không rõ tác giả trên Facebook,Trang web có đuôi tên miền .gov.vn (cơ quan chính phủ),Một diễn đàn game thủ,Tin nhắn lan truyền trên Zalo,B,Nhận biết,Tin 8 – Chủ đề C – Bài 2 [cite: 93]
