q_id,topic_id,question_text,option_A,option_B,option_C,option_D,correct_option,difficulty,source
K8D1_01,D_Dao_duc_phap_luat,Sản phẩm số (video, bài viết, ảnh...) phản ánh điều gì của người tạo ra nó?,Chỉ phản ánh trình độ tin học,Phản ánh đạo đức và văn hóa của người tạo ra nó,Chỉ phản ánh sở thích cá nhân,Không phản ánh gì cả,B,Nhận biết,Tin 8 – Chủ đề D
K8D1_02,D_Dao_duc_phap_luat,Hành vi nào sau đây là vi phạm pháp luật khi sử dụng công nghệ số?,Gửi email chúc mừng sinh nhật bạn,Quay phim chụp ảnh ở nơi có biển cấm,Tham gia học trực tuyến,Chia sẻ bài hát do mình tự sáng tác,B,Nhận biết,Tin 8 – Chủ đề D
K8D1_03,D_Dao_duc_phap_luat,Quyền tác giả là gì?,Quyền của tổ chức/cá nhân đối với tác phẩm mình sáng tạo ra hoặc sở hữu,Quyền được xem mọi thứ trên mạng miễn phí,Quyền được sao chép mọi phần mềm,Quyền được bán lại sản phẩm của người khác,A,Nhận biết,Tin 8 – Chủ đề D
K8D1_04,D_Dao_duc_phap_luat,Hành động nào KHÔNG vi phạm bản quyền?,Sử dụng phần mềm bẻ khóa (crack),Mạo danh tác giả,Nghe nhạc/xem phim tại các trang web chính thống trả phí,Sửa chữa phần mềm mà không xin phép tác giả,C,Nhận biết,Tin 8 – Chủ đề D
K8D1_05,D_Dao_duc_phap_luat,Đâu là biểu hiện của người có văn hóa khi giao tiếp trên mạng?,Sử dụng ngôn từ thô tục xúc phạm người khác,Viết hoa toàn bộ chữ để gây chú ý,Tôn trọng cộng đồng và quyền riêng tư của người khác,Spam tin nhắn liên tục,C,Nhận biết,Tin 8 – Chủ đề D
K8D1_06,D_Dao_duc_phap_luat,Tại sao không nên quay phim, chụp ảnh lén người khác rồi đăng lên mạng?,Vì ảnh sẽ bị mờ,Vì đó là hành vi vi phạm quyền riêng tư và thiếu văn hóa,Vì tốn dung lượng điện thoại,Vì không ai xem,B,Thông hiểu,Tin 8 – Chủ đề D
K8D1_07,D_Dao_duc_phap_luat,Nếu phát hiện một trang web chuyên cung cấp phim lậu hoặc phần mềm bẻ khóa, hành động đúng đắn nhất là gì?,Chia sẻ link cho bạn bè cùng dùng,Không truy cập và không tiếp tay cho vi phạm bản quyền,Tải về lưu trữ dần,Trả tiền cho chủ trang web để ủng hộ,B,Thông hiểu,Tin 8 – Chủ đề D
K8D1_08,D_Dao_duc_phap_luat,Việc "thả tim" hoặc chia sẻ một bài viết có nội dung bạo lực học đường thể hiện điều gì?,Sự vô cảm và tiếp tay cho hành vi xấu lan truyền,Sự dũng cảm,Tinh thần đoàn kết,Sự am hiểu công nghệ,A,Thông hiểu,Tin 8 – Chủ đề D
K8D1_09,D_Dao_duc_phap_luat,Vì sao khi sử dụng lại ảnh trên mạng cho bài trình chiếu của mình, ta cần ghi rõ nguồn?,Để bài trình chiếu dài hơn,Để thể hiện sự tôn trọng bản quyền và công sức của tác giả,Để giáo viên không trừ điểm,Để người xem dễ tìm ảnh gốc tải về,B,Thông hiểu,Tin 8 – Chủ đề D
K8D1_10,D_Dao_duc_phap_luat,Gia đình em lắp camera an ninh. Bác hàng xóm yêu cầu chỉnh camera không được quay sang sân nhà bác ấy. Em xử lí thế nào?,Không đồng ý vì camera nhà mình mình có quyền lắp,Đồng ý và điều chỉnh góc quay vì cần tôn trọng sự riêng tư của người khác,Lắp thêm một cái nữa quay cho rõ,Giả vờ đồng ý nhưng vẫn quay lén,B,Vận dụng,Tin 8 – Chủ đề D
K8D1_11,D_Dao_duc_phap_luat,Em muốn sử dụng một bài thơ của bạn cùng lớp để đăng lên báo tường điện tử của trường. Em cần làm gì để đảm bảo đạo đức?,Cứ đăng thoải mái vì là bạn thân,Tự sửa lại tên tác giả thành tên mình,Xin phép bạn và ghi rõ tên tác giả khi đăng bài,Đăng ẩn danh không ghi tên ai,C,Vận dụng,Tin 8 – Chủ đề D
K8D1_12,D_Dao_duc_phap_luat,Khi thấy một nhóm bạn đang bình luận chế giễu ngoại hình một bạn khác trên Facebook, em nên làm gì?,Tham gia bình luận cho vui,Thả biểu tượng "haha",Im lặng lờ đi coi như không biết,Nhắc nhở các bạn hoặc báo cáo (report) hành vi bắt nạt đó,D,Vận dụng,Tin 8 – Chủ đề D
